,topic_id,name,validation_stage,SourceData,KeyBERT_InKey,TopicRank_InKey
135,d3378657-a5f0-54f1-bb9b-20fc0c6cc281,SAP Analytics Cloud,9,Found,Found,NotFound
136,649c62cd-7e0c-56ef-8b43-c7d0ff80673d,SAP APO,9,Found,NotFound,NotFound
137,e32abde5-ba66-5c28-9d02-4eb4b85b38f2,SAP Ariba,9,Found,NotFound,NotFound
138,b77d61e8-fe76-5200-a211-0fe0ddb0299c,SAP BI,9,Found,NotFound,NotFound
139,3d971116-bb34-53ac-a275-8aba10becd71,SAP BO,9,Found,NotFound,NotFound
140,e7b9d3f6-bf2a-5f20-9a4d-fab908ebf892,SAP BPC,9,Found,NotFound,NotFound
141,a05cd7e3-ff31-5eee-a49f-192bc8b0bef5,SAP BW,9,Found,NotFound,NotFound
142,28c2559c-a3e6-5883-96d2-1a7612ac2560,SAP ByDesign,9,Found,NotFound,NotFound
143,6e700d47-5044-52c3-bc9a-dfd37e836ba5,SAP C4C,9,NotFound,NotFound,Found
144,d0d415fb-5393-50da-b104-4744306afd77,SAP Cloud Platform,9,Found,Found,NotFound
145,3f7f277a-2fba-508b-b70e-607c7bdcb0f0,SAP Commerce Cloud,9,Found,Found,Found
146,9261894c-31aa-506b-998b-e09313d9ee0e,SAP Concur,9,Found,NotFound,NotFound
147,8699ea6e-f3cd-5ac4-af8c-f356b1b0a6eb,SAP CPI,9,Found,NotFound,NotFound
148,a757afd7-d4f6-56a5-a441-099175615b4c,SAP Customer Data Cloud,9,Found,NotFound,Found
149,d0ab07ee-e800-5fd3-881c-785662ee79ef,SAP ECC,9,Found,NotFound,NotFound
150,c376b882-1c65-5389-b579-9c3da6a371fa,SAP Enable Now,9,Found,NotFound,NotFound
151,5e6d73a7-d521-5e9c-a383-ab780b8fc836,SAP eWM,9,Found,Found,NotFound
152,7fb6eba2-bdc8-5f0a-b3da-fa984acbc92b,SAP FICO,9,Found,NotFound,NotFound
153,b6f09389-050e-50c6-82c5-a88cdda7f5ac,SAP Fiori,9,Found,Found,NotFound
154,c5eba359-d5d4-54ba-9827-c6d62205fe00,SAP FM,9,NotFound,NotFound,NotFound
155,31a7b11c-b06d-5c2e-be16-15d84f2ba63a,SAP GRC,9,NotFound,NotFound,NotFound
156,a4a74f0b-ef5e-5ee0-a5e8-a583c7c47f04,SAP GTS,9,Found,NotFound,NotFound
157,902ea396-151d-5575-b7e0-04355a48ce52,SAP HCM,9,Found,NotFound,NotFound
158,ace2fa03-5b94-5d6b-97e8-3ebc15806941,SAP Hybris,9,Found,NotFound,NotFound
159,b551588e-7919-5a52-baba-b66221217430,SAP Hybris C4C,9,NotFound,NotFound,NotFound
160,eec4cb7c-acdd-54b5-888b-18a06d17cedf,SAP IBP,9,Found,NotFound,Found
161,79828fd0-cb00-530d-acbd-4e15c5f9bcc1,SAP IDM,9,NotFound,NotFound,NotFound
162,83541a14-7abc-5a17-b10b-60a03f9536c4,SAP Leonardo,9,Found,NotFound,NotFound
163,de069e5c-c586-5e80-9b68-ee2251ab772e,SAP Litmos,9,Found,NotFound,Found
164,fe40ab60-21a5-59fa-b6d5-197f6376628b,SAP Lumira,9,NotFound,NotFound,NotFound
165,c1e38728-c30d-5bf2-942a-d6111f2ba017,SAP Marketing Cloud,9,Found,Found,NotFound
166,d0e6b31d-0f29-53e2-a798-7a23f8a8f0f2,SAP MDG,9,NotFound,NotFound,NotFound
167,6a3a95b9-f952-54a5-8117-ddd36a447541,SAP MII,9,Found,NotFound,Found
168,071ae92d-0905-5343-84d0-3d406eae0433,SAP MM,9,NotFound,NotFound,NotFound
169,4e41d9b7-5f5c-555a-9d60-e3f7cbe5fc43,SAP Netweaver,9,NotFound,NotFound,NotFound
170,954ae941-f993-5b81-b4d3-f55f0b28040c,SAP on Azure,9,Found,NotFound,NotFound
171,be8a6f3d-bcf2-55e9-bf3b-3c67088b56c9,SAP OTC,9,NotFound,NotFound,NotFound
172,cfb1ab1f-8309-5be5-af5f-cde14d4e72cf,SAP PLM,9,Found,NotFound,NotFound
173,931222d2-d5d9-5347-b460-22d698041a27,SAP PM,9,Found,NotFound,NotFound
174,3aba0f10-b451-50f1-9b89-b85ad8b98319,SAP PO,9,Found,NotFound,NotFound
175,29b66c23-87d7-5318-b198-6077d35864e4,SAP PP,9,NotFound,NotFound,NotFound
176,33238936-92e1-5a0b-a4da-90995f901cbb,SAP PPM,9,NotFound,NotFound,NotFound
177,d9d6f827-eacb-5a40-aa53-c0a9c666b59b,SAP PS,9,Found,NotFound,NotFound
178,31720958-b00e-525c-b934-40d80bc88463,SAP QM,9,Found,NotFound,NotFound
179,a9fe700d-b9ca-54f2-97b8-738f7a2862a8,SAP Qualtrics,9,Found,Found,NotFound
180,3cc38449-6509-5ab0-9ada-afbc0b8c2f42,SAP RM,9,NotFound,NotFound,NotFound
181,dfb2ee3b-2d26-56f4-b339-32d286d9c95a,SAP Sales Cloud,9,Found,NotFound,NotFound
182,f5a0acf3-b2b9-52dd-a5d0-b0e5b812e486,SAP SD,9,NotFound,NotFound,NotFound
183,e02fe077-be9b-52ee-beb5-7a184d2a5953,SAP Service Cloud,9,Found,NotFound,NotFound
184,92c1065d-8658-5b41-a172-6f422b8ec984,SAP SRM,9,Found,NotFound,NotFound
185,84a3df18-80ed-5bf8-9764-b67b30720d88,SAP SuccessFactors,9,Found,Found,Found
186,dc9e64af-f368-5fb8-81c5-cd7865e81003,SAP TM,9,Found,NotFound,NotFound
187,6cdec978-2be6-5ec9-b90c-dbfd902aada3,SAP TR,9,NotFound,NotFound,NotFound
188,9e421f32-d94b-5d7a-9917-5d02328d23e1,SAPUI5,9,NotFound,NotFound,NotFound
189,3e58e59f-34fa-57a8-8323-a16d20a459aa,SAP VC,9,NotFound,NotFound,NotFound
190,b93532cc-ac16-5699-830e-a1b785597a2e,SAP VIM,9,Found,NotFound,Found
191,41987fe1-31f3-5b5b-bc38-0f2f49d686e2,SAP WCM,9,NotFound,NotFound,NotFound
192,73c2cb27-5b52-54ed-9c8f-d8cfa01b8709,SAP WM,9,Found,NotFound,NotFound
193,a2e4df29-1771-5129-ac36-7a7b11fc54c1,Service Management,9,Found,NotFound,NotFound
194,89e3d3cc-2856-51db-a888-b811843e5b2a,Sitecore,9,Found,NotFound,Found
195,ad8ea966-0127-5204-8f59-bed45282524e,SQL Server,9,Found,NotFound,NotFound
196,e35be42a-ac77-5629-8596-e28b5588559b,SSO,9,NotFound,NotFound,NotFound
197,4d2cbd15-cb6c-5269-9003-cf06007f034e,Supply Chain,9,Found,Found,Found
198,ea3ec08d-1216-58da-8ac7-ce365610e0dd,Tableau,9,Found,NotFound,NotFound
199,34dbec01-db8c-5e72-b243-b4345f5a4a46,Valo Intranet,9,NotFound,NotFound,NotFound
200,00899720-5fcc-5285-b780-b336dd0f60e0,Vena,9,Found,NotFound,Found
201,54748d6f-2e33-570b-9c17-74640f9f3e55,Warehousing,9,Found,NotFound,NotFound
